var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
surbrur_2	0.458671079344751	0.357124659996562	0.200270214793186	5.71619380092203e-4	0.383631071081406	surbrur	urban/semi-urban/rural
surbrur_3	-0.0948142311790001	0.346085946883645	0.784351815083062	2.58021389831775e-5	0.885250869891095	surbrur	urban/semi-urban/rural
sintlg_1	0.231924447305145	0.342396074453667	0.498837233060947	2.2160484122058e-4	0.705269388904085	sintlg	langue of interview
sintlg_2	0.416991620669957	0.375156201964351	0.267468446469584	6.68069328495724e-4	0.472462511282039	sintlg	langue of interview
sintlg_3	-0.103195750076619	0.331105321957069	0.755563822552178	3.45525550421444e-5	0.873434112995705	sintlg	langue of interview
sintlg_4	-2.84927365844229	1.04413422637474	0.0068301880398441	0.00343843782265463	0.0173079110538458	sintlg	langue of interview
sintlg_9	-0.578544558389856	1.02242800294404	0.572026417377931	1.08327763990501e-4	0.762701889837241	sintlg	langue of interview
sinterp_1	-13.7976326629978	0.373220111690765	1.311999e-100	4.44076146753125e-4	1.71623652972973e-99	sinterp	interpreter
sinterp_2	0.964132712196263	1.02088921782095	0.345920551356659	3.45879689204742e-4	0.568901804797499	sinterp	interpreter
sinterp_9	-0.5702910159286	1.02265624378733	0.577603020193726	1.04952172879647e-4	0.762795348944415	sinterp	interpreter
s105_1	0.145027689226429	0.372385972470241	0.697287627500354	6.22778969493476e-5	0.840229624337805	s105	level of education
s105_2	-0.0699345667403941	0.334648917287506	0.834643452227452	2.17449245236701e-5	0.911204731303955	s105	level of education
s105_3	-0.0600119550316348	0.430565731114342	0.889268290921588	1.06846207014177e-5	0.942702697637722	s105	level of education
s105_4	0.0412426184400148	0.58975642548162	0.944306813072769	2.75515301428886e-6	0.968904200357149	s105	level of education
s117_1	-2.07354754048794	0.891357881450704	0.0211237703919387	0.0124115303060872	0.0511195243484917	s117	occupation in last 12 months
s117_2	2.10546426744721	0.901572638987375	0.0206350041191563	0.0116824179624599	0.0500200767629632	s117	occupation in last 12 months
s117_3	19.7815481124311	1.10949587106411	1.534804e-41	0.00680057885639995	5.15864677777778e-41	s117	occupation in last 12 months
s117_4	2.14303859154013	1.17284998071493	0.069334116760441	0.00235545978942009	0.15681174071053	s117	occupation in last 12 months
s117_5	-11.0177922836733	0.88337577998371	4.249986e-26	3.8964758078408e-5	1.22683492485089e-25	s117	occupation in last 12 months
s117_96	-14.454764937567	0.578154836854955	2.723308e-60	8.02596354456231e-4	1.36353214344828e-59	s117	occupation in last 12 months
s117_99	-14.5186145439146	0.551573842987009	1.926315e-63	8.60099702925887e-4	1.01709432e-62	s117	occupation in last 12 months
s124_0	-13.6623649342335	0.273011682687632	2.566816e-128	3.86610365379791e-4	8.66748100465116e-127	s124	circumcised
s124_1	13.6481710236518	0.261469807410161	2.596903e-132	4.13915366894058e-4	9.92290304210526e-131	s124	circumcised
s124_9	-10.4674950697366	0.627501848774717	6.71235e-42	2.70229034640135e-5	2.27788643076923e-41	s124	circumcised
s125_1	-0.0908439952809917	0.424842194009892	0.830862722031138	1.86853029775502e-5	0.908443277401515	s125	age at circumcision
s125_2	0.185640506377463	0.504935938006123	0.713459765784364	4.33548412707152e-5	0.851858847477495	s125	age at circumcision
s125_3	-0.512185964922434	0.824627114357487	0.535120197702843	9.45296999395051e-5	0.738465757975389	s125	age at circumcision
s125_8	0.257845934956118	0.774293861556262	0.739421513487166	5.69909064784824e-5	0.867279075419295	s125	age at circumcision
s125_9	-11.7617335192235	0.621230934151288	2.194584e-49	7.46138354454917e-5	8.31993725326371e-49	s125	age at circumcision
s126_1	0.140089261249451	0.478664728905369	0.770031860445537	4.58314301571283e-5	0.879923697297942	s126	who performed circumcision
s126_2	0.506475243008132	0.51984232089139	0.330903607057797	3.91235844277582e-4	0.558039532459839	s126	who performed circumcision
s126_8	-0.963689552459537	1.01752649778449	0.344553325300774	8.47504088854811e-4	0.568562809778583	s126	who performed circumcision
s126_9	-11.7070897147536	0.58444343692068	5.639696e-53	8.02936330889237e-5	2.23129116948229e-52	s126	who performed circumcision
s333da_1	0.0437647256453681	0.576278580445117	0.93952769079273	2.97492552625567e-6	0.965798641325723	s333da	times had sex with last sex partner
s333da_2	0.671358655323304	0.550908433868787	0.224187687716712	4.84861472548226e-4	0.41362201088267597	s333da	times had sex with last sex partner
s333da_3	-0.26609714441825	0.426642218213222	0.533421317143596	1.73885420954423e-4	0.736983611433889	s333da	times had sex with last sex partner
s333da_9	-12.765470326226	0.428934668660191	3.541717e-82	1.89125664343148e-4	3.11671096e-81	s333da	times had sex with last sex partner
s333db_1	0.142582703854504	0.733174490478157	0.845983315410989	9.70470039818316e-5	0.919436956569428	s333db	times had sex with other sex partner (1)
s333db_2	0.349435317928004	0.69003202360222	0.613075266725466	3.36574882511265e-4	0.782924615026716	s333db	times had sex with other sex partner (1)
s333db_3	-0.228743050446564	0.591275877587696	0.699227847805382	3.13181313732591e-4	0.841849468264682	s333db	times had sex with other sex partner (1)
s333db_9	-13.1754720480123	0.633812652942997	5.297381e-54	4.91003214975416e-4	2.13069174847645e-53	s333db	times had sex with other sex partner (1)
s346_0	-0.022303409658766	0.765950906020561	0.976794412312361	6.93636206472448e-7	0.981526288358165	s346	paid for sex last 12 months
s346_1	0.211643927168734	0.766446728890876	0.78268284650647	5.91900458777328e-5	0.885250869891095	s346	paid for sex last 12 months
