nodes.male,keep
sh32fa_1,0
sh32fb_1,0
sh32fc_1,0
sh32fd_1,0
sh32fe_1,0
sh32ff_1,0
sh32g_1,0
sh32h_1,0
shreintv_1,0
sh106a4_0,0
hv237g_1,0
shlanq_2,0
sh106a1_1,0
sh106a2_1,0
sh106a3_1,0
sh106a5_1,0
sh136a_1,1
sh136e1_1,0
sh136e2_1,0
sh136e4_1,0
sh136e5_1,0
sh136f1_1,0
sh136f2_1,0
sh136f3_1,0
sh136f4_1,0
sh136f6_1,0
sh136f7_1,0
sh55_1,0
hv226_6,0
sh53_2,0
sv62_01_2,0
sv64_01_2,0
sh136ca_1,0
sh136cb_1,0
sh136cc_1,0
sh136cd_1,0
sh136ce_1,0
sh136cx_1,0
shnotne_1,0
sh25b_1,0
hv237e_1,0
shhivint_2,0
shlabstat_2,0
sh53_01_2,0
shhivint_01_2,0
sh111b_1,1
sprelim_3,0
hb64_1_1,1
hv237c_0,1
hv237d_0,1
hv237g_0,0
hv237c_8,0
hv237d_8,0
hv237g_8,0
hv237h_8,0
sh119e_1,0
sh120_1,1
sh021_1,0
sh023_1,0
sh025_1,0
sh021_01_1,0
sh023_01_1,0
sh025_01_1,0
sh431a_1_1,0
slquest_2,0
sh27b_1,1
sh27f_1,0
sh27g_1,0
sh27h_1,0
sh29d_1,0
shlquest_1,0
hv045a_3,0
shmnut_1,0
sh403_3,0
hb60_1_2,0
sh106aa_8,0
sh106ab_8,0
sh106ac_8,0
sh106ax_8,0
sh106az_8,0
shinterp_1,0
shusaid_1,0
sh106aa_1,0
sh106ab_1,0
sh106ac_1,0
sh123e_1,0
hv115_0,0
shspray_1,0
sh104g_1,0
sh110_1,0
sh113_1,1
sh13_01_1,0
sh123ca_1,0
sh123cb_1,0
sh123cc_1,0
sh123cd_1,0
sh123cx_1,0
sh123cz_1,0
sh141_1,1
sh20_01_1,0
shunicef_3,0
sh22b_1,1
sh52_2,0
sh50_01_2,0
sh52_01_2,0
hb13_1_0,1
hv243c_0,0
sh109aa_1,0
sh109ab_1,0
sh109ac_1,0
sh21_1,0
sh25_1,1
sh28_1,0
hb13_9,0
sh25_01_1,0
sh28_01_1,0
sheligchiv_1,0
sheligdvw_1,0
hb13_0,0
hb13_01_0,0
hb52_01_1,0
hv044_1,0
hv213_32,1
sh111e_1,0
sh111f_1,0
sh121f_1,0
sh127a_1,0
hv106_2,0
hb64_9,0
sh539a_9,0
hb66_01_2,0
hv225_1,0
sh118c_1,0
sh123dx_0,0
sh123da_1,0
sh123db_1,0
sh123dc_1,0
sh123dd_1,0
sh123de_1,0
sh123df_1,0
sh123dg_1,0
sh123dx_8,0
sh123dz_8,0
sh123dz_1,0
sh125b_1,0
sh127da_1,0
sh127db_1,0
sh127dc_1,0
sh127dd_1,0
sh127de_1,0
sh127df_1,0
sh140a_1,0
hb52_3,0
hb61_3,0
hb52_01_3,0
hb55_1_0,1
shcounci_0,0
sh123aa_1,0
sh123ac_1,0
sh123ad_1,0
sh123ae_1,0
sh123af_1,0
hb61_9,1
hv237f_0,0
sh119a_1,0
sh121e_1,0
sh140_1,1
hv120_1,0
sh10_01_1,0
sh107aa_1,0
sh107ab_1,0
sh107ea_1,0
sh104c_1,0
sh104j_1,0
sh104k_1,0
sh104l_1,0
sh104m_1,0
shsyph_1,0
sh108a_2,0
sh108b_1,0
sh108ca_1,0
sh108cb_1,0
sh108cc_1,0
sh108cd_1,0
sh108ce_1,0
sh108cf_1,0
sh108ch_1,0
sh108cx_1,0
sh111k_1,0
sh111l_1,0
sh111m_1,0
sh111n_1,0
sh111o_1,0
sh111p_1,0
sh111q_1,0
sh111r_1,0
sh111s_1,0
sh111t_1,0
sh111u_1,0
sh137a_1,0
sh137ba_1,0
sh137bb_1,0
sh137bc_1,0
sh137bd_1,0
sh545_1_2,0
hb64_1_9,0
sh106a_2,0
shlangq_2,0
v301_3,0
v302_3,0
v307_01_1,0
v307_02_1,0
v307_03_1,0
v307_04_1,0
v307_05_1,0
v307_06_1,0
v307_07_1,0
v307_08_1,0
v307_09_1,0
v307_11_1,0
v307_13_1,0
v307_14_1,0
v313_3,0
v463z_1,0
sinterp_1,1
sh118h_1,0
hv201a_1,0
hv230a_2,0
sh121l_1,0
sh121m_1,0
sh121n_1,0
sh121o_1,0
sh121p_1,0
sh121q_1,0
sh121r_1,0
v169a_1,0
v170_1,0
v171a_1,0
v171b_0,0
mv313_3,0
v384d_1,0
v481_1,0
v481a_1,0
v481b_1,0
v481c_1,0
v481d_1,0
v481x_1,0
v751_1,0
v762aa_1,0
v762ab_1,0
v762ac_1,0
v762ad_1,0
v762ae_1,0
v762af_1,0
v762ag_1,0
v762ah_1,0
v762ai_1,0
v762aj_1,0
v762ak_1,0
v762al_1,0
v762am_1,0
v762an_1,0
v762ar_1,0
v762as_1,0
v762at_1,0
v762au_1,0
v762av_1,0
v762aw_1,0
v762ax_1,0
v762az_1,0
v762ba_1,0
v762bb_1,0
v762bc_1,0
v762bd_1,0
v762be_1,0
v762bf_1,0
v762bg_1,0
v762bh_1,0
v762bi_1,0
v762bj_1,0
v762bk_1,0
v762bl_1,0
v762bm_1,0
v762bn_1,0
v762br_1,0
v762bs_1,0
v762bt_1,0
v762bu_1,0
v762bv_1,0
v762bw_1,0
v762bx_1,0
v762bz_1,0
v763a_1,0
v763b_1,0
v763c_1,0
v781_1,0
v785_1,0
v822_1,0
mv301_3,0
mv304_01_1,0
mv304_02_1,0
mv304_03_1,0
mv304_05_1,0
mv304_06_1,0
mv304_07_1,0
mv304_08_1,0
mv304_09_1,0
mv304_10_1,0
mv304_11_1,0
mv304_13_1,0
mv304_14_1,0
mv304_16_1,0
mv304_17_1,0
mv307_15_1,0
mv384a_1,0
mv384b_1,0
mv384c_1,0
mv395_1,0
mv3b25a_1,0
mv3b25b_1,0
mv483_1,0
mv633b_1,0
mv714_1,0
mv744a_1,0
mv744b_1,0
mv744c_1,0
mv744d_1,0
mv744e_1,0
sm302e_1,0
sm307cr_1,0
sm307ct_1,0
sm307cu_1,0
sm307cv_1,0
sm307cw_1,0
sm307cx_1,0
sm307gr_1,0
sm307gt_1,0
sm307gu_1,0
sm307gv_1,0
sm307gw_1,0
sm307gx_1,0
hv014,1
hv103_0,0
hv106_0,1
hv106_3,1
hv009,0
hv106_01_0,1
hv106_01_3,1
hv106_9,1
hv106_01_9,1
hv115_9,1
hv105,0
hb33_1,1
hv115_01_0,1
hv005,0
hv010,1
hb66_01_0,0
hv124_01,0
hb66_1_0,1
hb66_1_1,1
hv115_01_1,1
v001,0
v002,0
v003,0
hv219_1,0
hv124,0
hv220,0
hv106_01_2,1
hb66_01_1,0
hml1,1
hv118_01_0,1
hb33_6,0
hv218,1
hb33_2,0
hv102_0,1
hv115_4,0
hv210_9,1
hv209_0,1
hv206_0,1
hv207_0,1
hv208_0,1
hv210_0,1
hv102_01_0,1
hv103_01_0,1
hv110_0,0
hv115_01_9,1
hb53,0
hv212_0,1
hv221_0,1
hv211_0,1
hb66_1_2,1
hb66_1_3,1
hv018,0
hv006,0
hv201_11,1
hv201_12,1
hv201_13,1
hv201_31,1
hv201_32,1
hv246_0,1
hv243a_0,1
