nodes.male,keep
ha63_02_1,0
ha57_03_9,0
hc3_01,0
hc13_01_0,0
hc11_01,0
hc70_01,1
hc57_01_9,0
hc57_02_9,0
hv237c_9,0
hml7_1_22,1
v762bd_9,0
v762bj_9,0
v762bm_9,0
v762bx_9,0
mv762ab_1,0
hv109_10_9,0
sh17a_05_2,0
hv116_07_9,0
hv116_08_1,0
ha55_03_3,0
ha63_01_2,0
ha63_02_3,0
ha63_01_3,0
ha68_03_1,0
hc68_01_1,0
hc68_02_1,0
hb63_01_3,0
hb63_03_1,0
hml20_12_0,1
hml20_12_1,0
hv243c_9,0
hv243d_9,0
v150_101,0
sh19a_08_1,0
sh19a_03_3,0
ha55_1_4,0
ha63_2_2,0
hv121_9,0
v633a_1,0
hv126_08_3,0
sh17a_2,0
v762bo_1,1
v762bz_1,0
v784h_1,0
sh17a_01_0,0
sh17a_01_2,0
sh17a_02_2,0
sh17a_03_0,0
sh17a_03_2,0
sh17a_04_0,0
sh17a_04_2,0
sh17a_05_0,0
sh17a_06_0,0
sh17a_07_0,0
sh17a_08_0,0
sh17a_08_2,0
hv122_06_1,0
sh19a_02_1,0
sh19a_03_0,0
sh19a_03_2,0
sh19a_04_0,0
sh19a_04_2,0
sh19a_05_0,0
sh19a_05_2,0
sh19a_06_0,0
sh19a_06_2,0
sh19a_07_0,0
ha69_1,0
hml3_2_0,0
hml16a_08,0
mv307_07_0,0
v761b_1,0
hml33_04_4,0
hml32_06_1,0
hml35_04_1,0
hml35_05_1,0
hml35_06_1,0
hv114_02,0
v714a_9,0
v762av_9,0
v770t_1,0
v848_1,0
v464,0
hv252_1,0
ha61_02_1,0
ha61_02_3,0
hv106_06_9,0
hv106_09_9,0
hv121_01_9,0
v023_1,0
hv126_03_9,0
v762an_9,0
hv122_07_1,0
hv121_03_9,0
v762ah_1,0
ha4_2,0
hb3_1,0
hb13_1_0,1
hb5_1,0
hb6_1,0
hb5_2,0
hb6_2,0
hb12_1,0
hb12a_1,0
hb40_1,0
hb12_2,0
hb12a_2,0
hb40_2,0
hb12b_1,0
hb41_1,0
hb41_2,0
hc61_1_0,0
hc61_2_0,0
hb63_02_1,0
hv127_05,0
v312_1,0
hc52_1_2,0
v313_3,0
v511,1
v024_15,0
sh18_05_1,0
sh18_06_1,0
hb63_3_3,0
v150_102,0
v305_07_1,0
v754f_0,0
v754k_0,0
v754f_8,0
v754g_8,0
v754h_8,0
v754i_8,0
v754j_8,0
v754k_8,0
v754l_8,0
v754m_8,0
v754n_8,0
v754o_8,0
v754x_8,0
v776_1,0
v785a_1,0
v785b_1,0
v785c_1,0
v785d_1,0
v785e_1,0
v785f_1,0
v785g_1,0
v785h_1,0
v785i_1,0
v785j_1,0
v785k_1,0
v785l_1,0
v785x_1,0
sh03_02_4,0
sh03_02_6,0
sh03_03_6,0
sh03_03_7,0
sh03_04_6,0
sh03_05_6,0
sh03_06_2,0
sh03_06_6,0
sh03_06_7,0
sh03_07_6,0
sh03_08_6,0
sh15a_08_1,0
hv129_10_0,0
hv120_13_1,0
hv121_10_1,0
sh18a_03_1,0
sh18a_04_1,0
sh18a_05_1,0
sh18a_06_1,0
sh18a_07_1,0
sh20a_03_1,0
sh20a_04_1,0
sh20a_05_1,0
sh20a_06_1,0
hml19_13_1,0
hb70_01,0
sh17b_07,1
sh19b_07,0
ha11_03,0
hc3_02,0
hc13_02_0,0
sh118f_1,0
v150_103,0
sh17a_4,0
hb33_3,0
hb68_3,0
hml7_1_26,0
v762bc_9,0
v762bl_9,0
v762bt_9,0
v762bu_9,0
v762bz_11,0
mv304_05_0,0
mv307_18_1,0
mv762bb_1,0
sh17a_01_4,0
sh17a_02_4,0
sh17a_03_4,0
sh17a_04_4,0
sh17a_05_4,0
