nodes.female,keep
v171a_1,0
v384d_1,0
v463z_1,0
v481_1,0
v481a_1,0
v481b_1,0
v481c_1,0
v481d_1,0
v481x_1,0
v762ba_1,0
v762bb_1,0
v762bc_1,0
v762bd_1,0
v762be_1,0
v762bf_1,0
v762bg_1,0
v762bh_1,0
v762bi_1,0
v762bj_1,0
v762bk_1,0
v762bl_1,0
v762bm_1,0
v762bn_1,0
v762br_1,0
v762bs_1,0
v762bt_1,0
v762bu_1,0
v762bv_1,0
v762bw_1,0
v762bx_1,0
v762bz_1,0
v763a_1,0
v763b_1,0
v763c_1,0
v781_1,0
v785_1,0
v822_1,0
hv234a_0,1
ha61_3,0
hv246c_0,0
ha61_9,1
hv215_21,0
ha65_01_1,0
sh528_1_2,0
v452c_1,1
v046_1,0
v228_1,0
v302a_2,0
v304_02_1,0
v304_03_1,0
v304_06_1,0
v304_07_1,0
v304_08_1,0
v304_09_1,0
v304_10_1,0
v304_11_1,0
v304_13_1,0
v304_16_1,0
v304_17_1,0
v384a_1,0
v384b_1,0
v384c_1,0
v393_1,0
v394_1,0
v416_2,0
v463a_1,0
v463b_1,0
v463j_1,0
v463x_1,0
v467b_2,0
v467c_2,0
v467d_2,0
v467f_2,0
v532_6,0
v633b_1,0
v714_1,0
v744a_1,0
v744b_1,0
v744c_1,0
v744d_1,0
v744e_1,0
v811_2,0
v812_2,0
v813_2,0
v814_2,0
v815a_1,0
v815b_1,0
v815c_1,0
s730er_1,0
s730et_1,0
s730eu_1,0
s730ev_1,0
s730ew_1,0
s730ex_1,0
s815e_1,0
s932f_1,0
s1108aa_1,0
sh03_6,0
hv126_3,0
ha35_9,0
ha41_01,0
hv026_2,0
hv237a_0,0
hml18_9,0
sh14_01_0,0
shlangi_3,0
ha55_01_6,0
hv110_01_9,0
hv121_01_1,0
hv807a,0
hv253z_0,0
sh110k_9,0
hv253a_9,1
ha55_1_3,0
ha54_1_1,0
sh03_01_2,0
ha40,0
hv024_12,1
sh28d_9,0
sh03_7,0
sh03_01_1,0
sh14_9,0
ha3_01,0
shlangq_3,0
shlangr_3,0
ha55_01_4,1
ha55_01_9,1
hv109_01_1,0
sh17a_0,0
sh17a_1,0
hv116_2,1
sh19a_0,0
sh17a_01_0,0
sh17a_01_1,0
sh19a_01_1,0
ha55_1_4,0
ha63_1_6,1
hv126_2,0
ha40_1,0
sh19a_1,0
sh19a_3,0
sh21a_0,0
sh19aa_0,0
sh19a_01_0,0
sh19a_01_3,0
sh21a_01_0,0
sh19aa_01_0,0
ha61_1_1,1
ha65_1_5,0
ha6_01,0
ha65_01_5,0
ha61_1_3,1
hv110_1,0
hv807c,0
sh114_3,0
sh114_5,0
sh26ba_0,0
sh26ba_1,0
smanem,0
hv024_13,0
hv024_11,0
hv024_14,0
ha33_01_2,0
sh110o_9,0
ha68_9,0
hml19_01,0
hml20_01,0
sh110l_9,0
sh110m_9,0
sh110n_9,0
sh110p_9,0
sh110q_9,0
shhivw,0
hv110_9,0
ha5,0
ha6,0
sh03_9,0
sh03_99,0
hml17_01_0,0
shregion_1,0
shregion_3,0
shregion_4,0
shregion_5,0
shregion_6,0
shregion_7,0
shregion_9,0
shregion_10,0
shregion_11,0
shregion_12,0
shregion_13,0
shregion_14,0
shregion_15,0
shregion_16,0
shregion_17,0
shregion_18,0
shregion_19,0
shregion_20,0
shregion_21,0
sh105l_9,0
sh108_d_9,0
shnprovin_6,0
shnprovin_7,0
shnprovin_9,0
shnprovin_8,0
shnprovin_10,0
shnprovin_25,0
shnprovin_22,0
shnprovin_23,0
shnprovin_24,0
shnprovin_16,0
shnprovin_17,0
shnprovin_18,0
shnprovin_19,0
shnprovin_15,0
shnprovin_1,0
sharrond,0
shreg_1,0
shreg_2,0
shurbrur_1,0
sh104h_9,0
sh14_01_9,0
hml12_01_2,0
shintcg,0
sh13,0
sh31i_9,0
sh41e_9,0
sh32_99,0
sh34_9,0
sh32_1,0
sh32_3,0
sh32_4,0
sh32_5,0
sh32_7,0
sh32_8,0
sh32_11,0
sh32_96,0
shlangr_9,0
sh27a_9,0
sh27b_9,1
sh27c_9,0
sh27d_9,0
sh27e_9,0
sh27f_9,0
sh27x_9,0
sh27e_0,0
sh27f_0,1
sh31l_9,0
sh39d_9,0
hv023_20,1
hv023_21,0
hv023_22,1
hv023_23,0
hv202_99,0
shlangt_9,0
hv026_4,0
sh118e_9,0
sh16_0,0
sh17a_4,0
sh16_9,0
sh19a_4,0
sh16_01_0,0
sh17a_01_4,0
sh19a_01_4,0
hv031_152,0
hv031_142,0
sh32fd_9,0
shlangi_2,0
shlangi_4,0
shlangi_5,0
shlangi_6,1
sh28e_9,0
sh106a4_1,0
shregnat_5,0
sw43_1,0
sw43_2,0
sw43_3,0
sw43_4,0
sw43_9,0
sv64_1,0
sv64_2,0
sw49_1,0
sw49_4,0
sw49_9,0
sw49_2,0
sw49_3,0
shregnew_1,0
sh18a_9,0
sh20a_9,0
sh18a_01_9,0
sh20a_01_9,0
sh15a_0,0
shedm_0,0
sh15a_1,0
sh15a_3,0
sh15a_4,0
shedm_5,0
sh15a_9,0
shedm_1,0
shedm_2,0
shedm_3,0
shedm_4,0
sh18a_0,0
sh20a_0,0
sh20a_1,0
sh20a_3,0
sh15a_01_0,0
shedm_01_0,0
sh15a_01_1,0
sh15a_01_3,0
shedm_01_5,0
sh15a_01_9,0
shedm_01_1,0
shedm_01_2,0
shedm_01_3,0
shedm_01_4,0
sh18a_01_0,0
sh20a_01_0,0
sh20a_01_4,0
sh20a_01_5,0
shbsprov_2,0
shbsprov_4,0
shbsprov_7,0
shbsprov_1,0
shbsprov_3,0
shbsprov_6,0
shbsprov_8,0
shbsprov_5,0
sh111h_9,0
sh121b_1,1
hv103_01_9,0
sh24a_0,0
sh24a_1,0
sh24a_3,0
sh24a_9,0
ha66_4,0
ha66_5,0
ha65_1_7,0
sh24a_01_0,0
sh24a_01_1,0
sh24a_01_3,0
sh24a_01_9,0
ha68_1_9,0
sh51,0
sh63w,0
sh63w_01,0
sh54,0
shhivage,0
shhivage_01,0
shecozn_1,0
shecozn_2,0
shecozn_3,0
shecozn_4,0
sh03_12,0
sh04_2,0
sh04_1,0
shhivint_2,0
sh03_01_3,0
sh03_01_4,0
shres_01_0,0
sh04_01_1,0
shres_01_1,0
sh127r_1,0
sh127r_2,0
sh127r_3,0
sh127r_4,0
sh127r_5,0
sh127r_6,0
sh127r_7,0
sh127r_9,0
sh127r_10,0
sh19aa_3,0
sh19aa_1,0
sh19aa_2,0
ha68_6,0
sh19aa_01_1,0
sh19aa_01_2,0
ha61_1_5,0
sh21a_01_3,0
srecent_2,0
srecent_3,0
sh19aa_01_9,0
shresid_4,0
sh110b_9,0
sh119e_9,0
hv102_01_9,0
sh17aa_0,0
sh17aa_1,0
sh17a_2,0
sh17aa_2,0
sh17a_3,0
sh17aa_9,0
sh19aa_9,0
sh022_0,0
sh022_1,0
hml17_01_2,0
sh17aa_01_0,0
sh17aa_01_1,0
sh17a_01_2,0
sh17aa_01_2,0
sh17a_01_3,0
sh17aa_01_9,0
sh19a_01_2,0
sh022_01_0,0
sh022_01_1,0
ha61_1_6,0
shdist_11,0
shdist_6,0
shdist2_205,0
shdist_3,0
shdist2_302,0
shdist_10,0
shdist2_308,0
shdist_7,0
shdist2_307,0
shdist_2,0
shdist2_201,0
shdist_8,0
shdist2_303,0
shdist_4,0
shdist2_301,0
shdist_5,0
shdist2_105,0
shdist_1,0
shdist2_305,0
shdist_9,0
shdist2_206,0
hv125_01,0
ha12_01,0
ha12a_01,0
ha12b_01,0
ha40_01,0
sh527_01,0
shlquest_2,0
ha65_1_3,1
ha61_1_4,0
ha70_01,0
sh106az_0,0
sh106az_1,0
hml18_7,0
sh104i_9,0
sh13_01_0,0
shlangua_6,0
shlangua_5,0
ha5_01,0
sh21_11,0
sh21_12,0
sh21_13,0
sh21_23,0
sh21_41,0
sh21_96,0
sh21_99,0
sh28c_0,0
sh28c_1,0
ha63_01_9,0
sh48,0
hv030_81,0
hv031_82,0
hv030_101,0
hv031_102,0
hv031_12,1
hv031_22,1
hv031_32,1
hv031_42,1
hv031_52,1
hv031_62,1
hv031_72,1
hv031_92,1
hv031_112,1
hv031_122,1
hv031_132,1
hv226_2,0
sh35_1,0
sh35_2,0
sh35_3,0
sh35_4,0
sh35_5,0
sh35_9,0
sh07a_6,0
sh07a_1,0
sh07a_2,0
sh07a_5,0
sh07a_3,0
sh07a_4,0
sh07a_9,0
sh52_9,0
sh58_0,0
sh58_9,0
sh07a_01_6,0
sh07a_01_1,0
sh07a_01_2,0
sh07a_01_5,0
sh07a_01_3,0
sh07a_01_4,0
sh07a_01_9,0
sh50_01_2,0
sh50_01_1,0
sh59_01_0,0
sh59_01_3,1
ha13_9,0
sh109ab_9,0
sh109ac_9,0
ha65_6,0
ha52_1_2,0
hml33_9,0
sheligdvm_1,0
sheligdvm_0,0
sh119a,0
ha13_01_6,0
ha66_01_9,0
shdistr_7,0
sh121f_9,0
sh23_2,0
sh04a_95,0
ha64_01_1,0
ha64_01_9,0
sh23_01_2,0
sh524a_01_3,0
ha61_01_1,0
sh524a_01_1,0
sh528b_01_0,0
sh528b_01_4,0
ha61_01_9,0
sh524a_01_9,0
sh528b_01_3,0
hml12_3,0
hml12_01_3,0
sh14_1,0
ha13_01_0,1
sh28d_1,0
sh14_01_1,0
hv237x_1,0
hv807y,0
hiv06_1,0
ha35_1,1
ha65_1,0
sh118b_1,0
sh110p_1,0
sh110q_1,0
sh25f_1,0
hv213_31,0
shtrans_1,0
sh110r_1,0
hv237h_1,0
hv226_7,1
sh106a_1,0
sh21_01_1,0
hv253b_0,0
hv253b_8,0
sh26a_1,1
sh26bb_1,0
sh26bc_1,0
sh26bd_1,0
sh26be_1,0
sh26bx_1,0
sh26bz_1,0
ha52_1,0
sh28a_1,1
ha54_0,0
sh118a_1,0
hv215_33,0
sh105g_1,0
sh105h_1,0
sh105i_1,0
sh105j_1,0
sh105k_1,0
sh105l_1,0
sh105m_1,0
sh108_d_1,0
hv025_1,1
shvilles_1,0
shelig_2,0
hml32a_1,0
hml32b_1,0
sh26_1,0
sh27e_8,0
sh27f_8,0
sh27x_8,0
sh31b_1,1
sh31e_1,0
sh31h_1,0
sh31i_1,0
sh31j_1,0
sh31k_1,0
sh31l_1,0
sh39a_1,0
sh39b_1,0
sh39d_1,0
sh41c_1,0
sh41f_9,0
sh42_1,0
sh44_1,0
sh46_1,0
sh48k_1,0
spathfin_1,0
spackard_1,0
susaid1_1,0
susaid2_1,0
shlangt_1,0
shpepfar_1,0
shhapn_1,0
shpmi_1,0
shunfpa_1,0
sh11a_01_1,0
sh110u_1,0
sh110v_1,0
sh110w_1,0
sh110x_1,0
sh110y_1,0
sh110z_1,0
sh118e_1,0
