name,gender,beta,se,zval,pvalue,tau2,H2,k,I2,QE,QEp,mean_r2,num_surveys,category,var,var_lbl,lvl_lbl
m55i_19,f,-12.534308890414923,0.40517000858141117,-30.93592473515076,3.9290523444551244e-210,0.4890899690852171,4.355108438402462,4,77.03845922222733,13.065325315207389,0.0044974444039476294,3.636450594000365e-4,"(3,10]",NA,NA,NA,NA
m55j_1_9,f,-9.51305146792497,1.8757421027781627,-5.071620162406753,3.944430789247043e-7,17.204870085641222,77.83016732185246,5,98.71515116257595,311.3206692874098,3.913223590219444e-66,4.358953732704231e-4,"(3,10]",NA,NA,NA,NA
m55j_19,f,-12.616703769642431,0.21685800834482594,-58.17956120661502,0,0,1,3,0,0.8689973520383845,0.6475892377282979,2.1252047552933166e-4,"(1,3]",NA,NA,NA,NA
m55k_1_9,f,-9.463127724896836,1.6142572090677323,-5.862218035477749,4.567247514242392e-9,9.96296684715523,38.30391512843132,4,97.3893008152116,114.91174538529398,9.618005974080518e-25,1.9613499903797788e-4,"(3,10]",NA,NA,NA,NA
m55l_1_9,f,-1.20745263515565,1.0456666357606,-1.1547204375296625,0.2482049274445166,0,1,1,0,0,1,3.34910733568172e-5,"(0,1]",NA,NA,NA,NA
m55x_1_9,f,-8.678362244092517,0.865975590832764,-10.02148598177806,1.2264490897013673e-23,12.29540277158567,56.54487788508467,17,98.23149321847987,904.7180461613547,2.726983105027183e-182,3.2414025038417314e-4,"(10,50]",NA,NA,NA,NA
m55z_1_9,f,-8.678362244092517,0.865975590832764,-10.02148598177806,1.2264490897013673e-23,12.29540277158567,56.54487788508467,17,98.23149321847987,904.7180461613547,2.726983105027183e-182,3.2414025038417314e-4,"(10,50]",NA,NA,NA,NA
m56_1_9,f,-12.098995062161872,0.23872730063866093,-50.68123767073873,0,0,1,3,0,1.4354142954160132,0.48786958743419795,2.595704253550343e-4,"(1,3]",NA,NA,NA,NA
m56_2_9,f,-13.950740070323898,0.370133517696112,-37.691101733125855,0,0,1,1,0,0,1,5.65597915488936e-4,"(0,1]",NA,NA,NA,NA
m57a_1_9,f,-6.43433152016637,1.3522748526841313,-4.758153645610477,1.953717684557758e-6,32.40668954529685,116.07355516049759,18,99.13847732274824,1973.2504377284592,0,4.7571388532810814e-4,"(10,50]",NA,NA,NA,NA
m57b_1_9,f,-5.995077588419136,1.5491064340162646,-3.870023038298343,1.0882506887624503e-4,35.492455362750896,132.0678927985356,15,99.242813693162,1848.9504991794984,0,4.907261498160602e-4,"(10,50]",NA,NA,NA,NA
m57c_1_9,f,-13.006773877326703,0.43009532913232906,-30.241606909720378,6.72686327782833e-201,0,1,1,0,0,1,2.4540658806993e-4,"(0,1]",NA,NA,NA,NA
m57e_1_9,f,-6.43433152016637,1.3522748526841313,-4.758153645610477,1.953717684557758e-6,32.40668954529685,116.07355516049759,18,99.13847732274824,1973.2504377284592,0,4.7571388532810814e-4,"(10,50]",NA,NA,NA,NA
m57f_1_9,f,-6.43433152016637,1.3522748526841313,-4.758153645610477,1.953717684557758e-6,32.40668954529685,116.07355516049759,18,99.13847732274824,1973.2504377284592,0,4.7571388532810814e-4,"(10,50]",NA,NA,NA,NA
m57g_1_9,f,-6.115017229427612,1.3799488165464784,-4.431336261247231,9.365091314881769e-6,28.00134271357504,94.36449335414488,15,98.940279373676,1321.1029069580284,1.556728789722852e-273,4.885588856049135e-4,"(10,50]",NA,NA,NA,NA
