var1,var2,total,avg_r,max_r,removeVar1,removeVar2
sh19aa_0,hv109_0,1,0.9999999999999998,0.9999999999999998,1,1
sh19aa_1,hv109_1,1,1,1,1,1
sh19aa_2,hv109_2,1,1,1,1,0
sh19aa_3,sh19a_3,1,0.9170899729834007,0.9170899729834007,1,1
sh19aa_01_0,hv106_01_0,1,1,1,1,0
sh19aa_01_0,hv109_01_0,1,1,1,1,1
sh19aa_01_1,hv109_01_1,1,1,1,1,1
sh19aa_01_2,hv109_01_2,1,0.9999999999999999,0.9999999999999999,1,0
hv116_01_2,hv115_01_3,1,0.902987494069477,0.902987494069477,1,0
srecent_2,sprelim_2,1,0.9712009627892884,0.9712009627892884,1,0
srecent_3,sprelim_3,1,0.9978163206561091,0.9978163206561091,1,0
sh19aa_01_9,hv124_01,1,0.9354261787442781,0.9354261787442781,1,0
shresid_4,hv025_2,1,1,1,1,1
sh110g_9,hv208_9,1,1,1,1,1
sh110j_9,hv208_9,1,0.9427530802202939,0.9427530802202939,1,1
sh110k_9,hv208_9,1,1,1,1,1
sh119e_9,hv210_9,1,0.9999999999999999,0.9999999999999999,1,1
sh119e_9,hv211_9,1,0.9999999999999999,0.9999999999999999,1,1
sh119e_9,hv212_9,1,0.9999999999999999,0.9999999999999999,1,1
hv237z_0,hv237c_0,1,0.9011725150837351,0.9011725150837351,1,1
hv237z_0,hv237d_0,1,0.9091040037027168,0.9091040037027168,1,0
sh119e_9,hv243b_9,1,0.9999999999999999,0.9999999999999999,1,1
sh110k_9,sh110g_9,1,1,1,1,1
sh17aa_0,hv106_0,1,1,1,1,0
sh17aa_1,hv106_1,1,1,1,1,0
sh17a_2,hv106_2,1,1,1,1,0
sh17aa_2,hv106_2,1,0.9418957625492648,0.9418957625492648,1,0
sh17a_3,hv106_3,1,1,1,1,0
sh17aa_9,hv106_9,1,1,1,1,0
sh17aa_0,hv109_0,1,1,1,1,1
sh17a_1,hv109_1,1,0.9392816431632145,0.9392816431632145,1,1
sh17aa_1,hv109_1,1,0.9392816431632145,0.9392816431632145,1,1
sh17a_3,hv109_5,1,1,1,1,1
sh17aa_9,hv109_9,1,1,1,1,1
sh19aa_0,hv121_0,1,0.9955909985756219,0.9955909985756219,1,1
sh19aa_9,hv121_9,1,0.9999999999999999,0.9999999999999999,1,1
sh17aa_0,sh17a_0,1,0.9727656075861442,0.9727656075861442,1,1
sh17aa_1,sh17a_1,1,1,1,1,1
sh17aa_2,sh17a_2,1,0.9418957625492648,0.9418957625492648,1,1
sh19aa_1,sh19a_1,1,1,1,1,1
sh19aa_2,sh19a_2,1,0.9815580649396294,0.9815580649396294,1,0
